Change Number,Opened At,Planned Start,Planned End,Actual Start,Actual End,Change Type,Risk,Priority,State,Category,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Conflict Status,Approval Status,On Hold Reason,Month Year,Quarter
CHG0000825,2024-12-15 02:59:18,2025-01-02 02:59:18,2025-01-02 09:59:18,2025-01-02 03:29:18,2025-01-02 05:29:18,Emergency,High,2 - High,Implement,Software,App Support,Rahul Sharma,Pune,Sales,Active Directory,Firewall rule update,No Conflict,Approved,Resource unavailable,Dec-2024,Q4-2024
CHG0000826,2024-06-14 03:11:41,2024-07-08 03:11:41,2024-07-08 05:11:41,,,Emergency,High,4 - Low,Review,Access Management,Network Ops,Rohan Verma,Kolkata,Finance,Email Gateway,DB migration,No Conflict,Pending,,Jun-2024,Q2-2024
CHG0000827,2024-06-06 01:49:34,2024-07-01 01:49:34,2024-07-01 06:49:34,2024-07-01 02:16:34,2024-07-01 04:16:34,Emergency,High,4 - Low,Implement,Email/Collaboration,L1 Support,Vikram Joshi,Delhi NCR,Legal,Active Directory,Middleware upgrade,No Conflict,Approved,Vendor dependency,Jun-2024,Q2-2024
CHG0000828,2024-02-16 01:01:08,2024-03-13 01:01:08,2024-03-13 09:01:08,2024-03-13 01:21:08,2024-03-13 08:21:08,Standard,Low,2 - High,Implement,Hardware,Infra Team,Kavya Reddy,Bangalore,Operations,ERP Server,Middleware upgrade,No Conflict,Approved,Testing required,Feb-2024,Q1-2024
CHG0000829,2024-08-25 15:38:26,2024-09-02 15:38:26,2024-09-02 22:38:26,,,Normal,High,2 - High,Cancelled,Database,L2 Support,Rohan Verma,Delhi NCR,Marketing,Firewall-01,Network upgrade,No Conflict,Pending,Resource unavailable,Aug-2024,Q3-2024
CHG0000830,2024-06-29 18:37:11,2024-07-22 18:37:11,2024-07-22 22:37:11,,,Normal,Low,2 - High,Authorize,Hardware,Network Ops,Pooja Iyer,Bangalore,Procurement,SAP Production,DB migration,No Conflict,Approved,Resource unavailable,Jun-2024,Q2-2024
CHG0000831,2024-04-03 12:51:22,2024-04-22 12:51:22,2024-04-22 13:51:22,2024-04-22 12:47:22,2024-04-22 16:47:22,Emergency,High,3 - Medium,Implement,Hardware,Security Ops,Rohan Verma,Chennai,Operations,Email Gateway,OS patch deployment,No Conflict,Approved,Resource unavailable,Apr-2024,Q2-2024
CHG0000832,2024-08-04 03:20:26,2024-08-31 03:20:26,2024-08-31 08:20:26,2024-08-31 03:38:26,2024-08-31 04:38:26,Emergency,Low,3 - Medium,Implement,Access Management,Security Ops,Rahul Sharma,Bangalore,Sales,Core Switch,SSL certificate renewal,Conflict Detected,Approved,Testing required,Aug-2024,Q3-2024
CHG0000833,2024-04-11 12:09:46,2024-04-19 12:09:46,2024-04-19 16:09:46,2024-04-19 12:39:46,2024-04-19 16:39:46,Emergency,Medium,1 - Critical,Implement,Network,L2 Support,Sneha Patil,Pune,Marketing,Firewall-01,Load balancer config,Conflict Detected,Approved,Awaiting approval,Apr-2024,Q2-2024
CHG0000834,2024-08-27 19:21:32,2024-09-09 19:21:32,2024-09-09 22:21:32,2024-09-09 19:26:32,2024-09-09 20:26:32,Emergency,Medium,2 - High,Implement,Access Management,L1 Support,Vikram Joshi,Mumbai,IT,SAP Production,SSL certificate renewal,No Conflict,Rejected,Vendor dependency,Aug-2024,Q3-2024
CHG0000835,2024-05-11 08:07:09,2024-05-20 08:07:09,2024-05-20 14:07:09,2024-05-20 08:16:09,2024-05-20 11:16:09,Emergency,Low,3 - Medium,Implement,Email/Collaboration,L1 Support,Priya Menon,Bangalore,Operations,CRM Application,Backup policy change,No Conflict,Approved,Testing required,May-2024,Q2-2024
CHG0000836,2024-04-11 06:10:44,2024-04-20 06:10:44,2024-04-20 10:10:44,2024-04-20 06:12:44,2024-04-20 07:12:44,Normal,Medium,3 - Medium,Implement,Access Management,Infra Team,Anjali Singh,Mumbai,Finance,VPN Gateway,DR failover test,No Conflict,Rejected,Awaiting approval,Apr-2024,Q2-2024
CHG0000837,2024-02-11 03:29:56,2024-03-01 03:29:56,2024-03-01 08:29:56,2024-03-01 03:18:56,2024-03-01 07:18:56,Emergency,Low,1 - Critical,Closed,Database,DB Admins,Rahul Sharma,Mumbai,Finance,Email Gateway,Middleware upgrade,No Conflict,Approved,Testing required,Feb-2024,Q1-2024
CHG0000838,2024-11-25 16:13:40,2024-12-21 16:13:40,2024-12-21 23:13:40,2024-12-21 15:55:40,2024-12-21 20:55:40,Emergency,Medium,2 - High,Closed,Access Management,L2 Support,Pooja Iyer,Pune,Finance,ERP Server,Backup policy change,No Conflict,Pending,Resource unavailable,Nov-2024,Q4-2024
CHG0000839,2024-09-17 07:27:21,2024-10-15 07:27:21,2024-10-15 11:27:21,2024-10-15 07:19:21,2024-10-15 12:19:21,Emergency,High,3 - Medium,Implement,Email/Collaboration,App Support,Amit Desai,Delhi NCR,Marketing,Email Gateway,Firewall rule update,No Conflict,Approved,Vendor dependency,Sep-2024,Q3-2024
CHG0000840,2024-03-06 12:56:04,2024-03-28 12:56:04,2024-03-28 14:56:04,2024-03-28 13:01:04,2024-03-28 16:01:04,Standard,Medium,2 - High,Closed,Software,Security Ops,Kavya Reddy,Mumbai,Sales,Firewall-01,OS patch deployment,No Conflict,Approved,Awaiting approval,Mar-2024,Q1-2024
CHG0000841,2024-01-25 02:24:15,2024-02-10 02:24:15,2024-02-10 08:24:15,,,Standard,Medium,3 - Medium,Review,Security,Security Ops,Anjali Singh,Kolkata,Procurement,Load Balancer,Firewall rule update,No Conflict,Approved,Vendor dependency,Jan-2024,Q1-2024
CHG0000842,2024-01-08 14:50:47,2024-01-16 14:50:47,2024-01-16 21:50:47,2024-01-16 15:06:47,2024-01-16 18:06:47,Emergency,Low,1 - Critical,Implement,Access Management,Infra Team,Anjali Singh,Hyderabad,Procurement,Oracle DB,Load balancer config,No Conflict,Pending,,Jan-2024,Q1-2024
CHG0000843,2024-01-16 05:07:47,2024-02-06 05:07:47,2024-02-06 11:07:47,2024-02-06 05:15:47,2024-02-06 12:15:47,Standard,Low,2 - High,Implement,Hardware,DB Admins,Deepak Nair,Chennai,Sales,ERP Server,OS patch deployment,No Conflict,Approved,Awaiting approval,Jan-2024,Q1-2024
CHG0000844,2024-09-27 03:27:28,2024-10-06 03:27:28,2024-10-06 04:27:28,2024-10-06 03:00:28,2024-10-06 05:00:28,Standard,Low,4 - Low,Closed,Hardware,DB Admins,Sneha Patil,Pune,Legal,VPN Gateway,DR failover test,No Conflict,Approved,Awaiting approval,Sep-2024,Q3-2024
CHG0000845,2024-01-18 00:37:41,2024-02-11 00:37:41,2024-02-11 03:37:41,2024-02-11 01:04:41,2024-02-11 08:04:41,Emergency,Low,3 - Medium,Implement,Access Management,Infra Team,Anjali Singh,Mumbai,Sales,Email Gateway,Storage expansion,No Conflict,Rejected,Testing required,Jan-2024,Q1-2024
CHG0000846,2024-09-15 04:49:57,2024-09-27 04:49:57,2024-09-27 05:49:57,,,Normal,Medium,1 - Critical,Authorize,Email/Collaboration,L2 Support,Sneha Patil,Pune,IT,Active Directory,Load balancer config,Conflict Detected,Approved,,Sep-2024,Q3-2024
CHG0000847,2024-12-09 17:11:30,2025-01-02 17:11:30,2025-01-02 19:11:30,2025-01-02 17:04:30,2025-01-02 19:04:30,Normal,Low,4 - Low,Implement,Application,Network Ops,Rahul Sharma,Pune,Marketing,Core Switch,Load balancer config,No Conflict,Pending,Awaiting approval,Dec-2024,Q4-2024
CHG0000848,2024-09-23 06:49:53,2024-10-04 06:49:53,2024-10-04 07:49:53,,,Emergency,Low,4 - Low,Cancelled,Security,Infra Team,Rohan Verma,Bangalore,IT,SAP Production,Middleware upgrade,Conflict Detected,Rejected,Awaiting approval,Sep-2024,Q3-2024
CHG0000849,2024-02-23 22:30:18,2024-03-21 22:30:18,2024-03-22 00:30:18,2024-03-21 22:08:18,2024-03-22 02:08:18,Emergency,Low,3 - Medium,Implement,Software,L2 Support,Vikram Joshi,Hyderabad,Sales,Active Directory,Load balancer config,No Conflict,Approved,Testing required,Feb-2024,Q1-2024
CHG0000850,2024-07-04 12:40:29,2024-07-15 12:40:29,2024-07-15 16:40:29,2024-07-15 12:25:29,2024-07-15 14:25:29,Standard,Low,2 - High,Implement,Software,Security Ops,Rohan Verma,Chennai,Procurement,Active Directory,DB migration,No Conflict,Approved,Resource unavailable,Jul-2024,Q3-2024
CHG0000851,2024-12-04 18:13:45,2024-12-11 18:13:45,2024-12-11 19:13:45,2024-12-11 17:46:45,2024-12-11 21:46:45,Normal,Medium,1 - Critical,Implement,Database,DB Admins,Anjali Singh,Kolkata,Legal,CRM Application,OS patch deployment,No Conflict,Rejected,,Dec-2024,Q4-2024
CHG0000852,2024-08-08 12:16:44,2024-08-24 12:16:44,2024-08-24 17:16:44,2024-08-24 12:26:44,2024-08-24 14:26:44,Emergency,High,4 - Low,Closed,Software,DB Admins,Priya Menon,Pune,HR,ERP Server,Middleware upgrade,No Conflict,Approved,Vendor dependency,Aug-2024,Q3-2024
CHG0000853,2024-12-29 14:02:16,2025-01-19 14:02:16,2025-01-19 21:02:16,2025-01-19 13:39:16,2025-01-19 15:39:16,Standard,Low,2 - High,Implement,Security,App Support,Anjali Singh,Pune,Operations,ERP Server,Network upgrade,No Conflict,Pending,Awaiting approval,Dec-2024,Q4-2024
CHG0000854,2024-11-09 11:50:18,2024-11-21 11:50:18,2024-11-21 19:50:18,,,Normal,High,3 - Medium,Review,Database,DB Admins,Rohan Verma,Bangalore,Procurement,Load Balancer,Middleware upgrade,No Conflict,Approved,Awaiting approval,Nov-2024,Q4-2024
CHG0000855,2024-06-27 13:47:29,2024-07-25 13:47:29,2024-07-25 17:47:29,,,Emergency,Medium,1 - Critical,Review,Email/Collaboration,L2 Support,Priya Menon,Delhi NCR,Procurement,Oracle DB,Backup policy change,No Conflict,Approved,,Jun-2024,Q2-2024
CHG0000856,2024-12-26 15:26:49,2025-01-08 15:26:49,2025-01-08 22:26:49,,,Standard,Low,1 - Critical,Authorize,Security,L2 Support,Priya Menon,Hyderabad,Procurement,ERP Server,Network upgrade,No Conflict,Approved,,Dec-2024,Q4-2024
CHG0000857,2024-10-12 05:50:05,2024-11-06 05:50:05,2024-11-06 12:50:05,2024-11-06 05:39:05,2024-11-06 10:39:05,Standard,High,4 - Low,Closed,Access Management,App Support,Priya Menon,Mumbai,Finance,VPN Gateway,DB migration,No Conflict,Pending,,Oct-2024,Q4-2024
CHG0000858,2024-12-31 12:40:01,2025-01-09 12:40:01,2025-01-09 18:40:01,2025-01-09 12:27:01,2025-01-09 14:27:01,Normal,High,4 - Low,Implement,Security,DB Admins,Vikram Joshi,Hyderabad,Legal,Load Balancer,Backup policy change,No Conflict,Approved,Testing required,Dec-2024,Q4-2024
CHG0000859,2024-11-27 03:09:03,2024-12-15 03:09:03,2024-12-15 11:09:03,2024-12-15 03:06:03,2024-12-15 04:06:03,Normal,Medium,3 - Medium,Closed,Email/Collaboration,L2 Support,Amit Desai,Mumbai,Finance,Oracle DB,Firewall rule update,No Conflict,Approved,,Nov-2024,Q4-2024
CHG0000860,2024-06-09 13:00:32,2024-06-21 13:00:32,2024-06-21 14:00:32,,,Emergency,High,4 - Low,Authorize,Access Management,L1 Support,Amit Desai,Kolkata,Marketing,Active Directory,Middleware upgrade,Conflict Detected,Approved,Awaiting approval,Jun-2024,Q2-2024
CHG0000861,2024-11-04 03:46:42,2024-11-25 03:46:42,2024-11-25 08:46:42,,,Normal,High,1 - Critical,Authorize,Network,Security Ops,Amit Desai,Mumbai,Legal,VPN Gateway,SSL certificate renewal,No Conflict,Approved,Awaiting approval,Nov-2024,Q4-2024
CHG0000862,2024-04-08 15:13:14,2024-04-21 15:13:14,2024-04-21 22:13:14,,,Standard,Medium,4 - Low,Authorize,Application,Infra Team,Deepak Nair,Chennai,Finance,Active Directory,DB migration,No Conflict,Approved,Vendor dependency,Apr-2024,Q2-2024
CHG0000863,2024-03-23 02:53:03,2024-04-20 02:53:03,2024-04-20 05:53:03,,,Normal,High,3 - Medium,Review,Application,App Support,Pooja Iyer,Pune,Operations,Active Directory,Backup policy change,No Conflict,Pending,Resource unavailable,Mar-2024,Q1-2024
CHG0000864,2024-06-13 14:21:54,2024-07-04 14:21:54,2024-07-04 22:21:54,2024-07-04 14:24:54,2024-07-04 21:24:54,Emergency,High,2 - High,Closed,Network,App Support,Kavya Reddy,Hyderabad,Operations,Oracle DB,Firewall rule update,Conflict Detected,Approved,Awaiting approval,Jun-2024,Q2-2024
CHG0000865,2024-10-12 16:21:02,2024-10-31 16:21:02,2024-10-31 23:21:02,2024-10-31 16:08:02,2024-10-31 20:08:02,Standard,High,3 - Medium,Closed,Application,L2 Support,Rahul Sharma,Chennai,Operations,VPN Gateway,Firewall rule update,No Conflict,Approved,,Oct-2024,Q4-2024
CHG0000866,2024-10-31 07:19:23,2024-11-25 07:19:23,2024-11-25 15:19:23,,,Normal,High,3 - Medium,Review,Network,DB Admins,Rahul Sharma,Kolkata,Operations,Oracle DB,OS patch deployment,No Conflict,Pending,Vendor dependency,Oct-2024,Q4-2024
CHG0000867,2024-02-07 12:56:20,2024-02-19 12:56:20,2024-02-19 15:56:20,2024-02-19 13:08:20,2024-02-19 20:08:20,Emergency,Medium,4 - Low,Closed,Network,Infra Team,Deepak Nair,Mumbai,Procurement,VPN Gateway,OS patch deployment,Conflict Detected,Pending,Vendor dependency,Feb-2024,Q1-2024
CHG0000868,2024-11-23 14:03:04,2024-12-14 14:03:04,2024-12-14 22:03:04,2024-12-14 13:35:04,2024-12-14 17:35:04,Emergency,Medium,1 - Critical,Closed,Email/Collaboration,Infra Team,Pooja Iyer,Pune,HR,Email Gateway,Backup policy change,No Conflict,Approved,Awaiting approval,Nov-2024,Q4-2024
CHG0000869,2024-05-29 20:25:48,2024-06-25 20:25:48,2024-06-25 22:25:48,2024-06-25 20:41:48,2024-06-26 00:41:48,Normal,Low,2 - High,Closed,Hardware,Infra Team,Kavya Reddy,Hyderabad,Marketing,Firewall-01,Middleware upgrade,No Conflict,Approved,Vendor dependency,May-2024,Q2-2024
CHG0000870,2024-02-28 20:25:26,2024-03-19 20:25:26,2024-03-19 21:25:26,2024-03-19 20:33:26,2024-03-20 03:33:26,Emergency,High,4 - Low,Implement,Database,App Support,Kavya Reddy,Bangalore,Procurement,SAP Production,Middleware upgrade,No Conflict,Approved,Testing required,Feb-2024,Q1-2024
CHG0000871,2024-03-30 16:41:35,2024-04-12 16:41:35,2024-04-12 20:41:35,,,Emergency,Low,4 - Low,Review,Email/Collaboration,L1 Support,Amit Desai,Delhi NCR,IT,Email Gateway,DB migration,Conflict Detected,Approved,,Mar-2024,Q1-2024
CHG0000872,2024-04-19 04:19:26,2024-05-06 04:19:26,2024-05-06 06:19:26,,,Emergency,High,4 - Low,Authorize,Network,Infra Team,Vikram Joshi,Kolkata,IT,Active Directory,Backup policy change,No Conflict,Approved,Testing required,Apr-2024,Q2-2024
CHG0000873,2024-03-06 00:27:27,2024-03-26 00:27:27,2024-03-26 06:27:27,,,Normal,Low,4 - Low,Authorize,Security,Infra Team,Pooja Iyer,Delhi NCR,Sales,Firewall-01,OS patch deployment,No Conflict,Pending,Vendor dependency,Mar-2024,Q1-2024
CHG0000874,2024-06-30 07:20:47,2024-07-24 07:20:47,2024-07-24 11:20:47,,,Standard,High,4 - Low,Review,Email/Collaboration,L2 Support,Rohan Verma,Pune,Legal,Core Switch,Storage expansion,No Conflict,Approved,Vendor dependency,Jun-2024,Q2-2024
CHG0000875,2024-06-13 14:33:37,2024-06-25 14:33:37,2024-06-25 21:33:37,2024-06-25 14:36:37,2024-06-25 17:36:37,Standard,Medium,1 - Critical,Closed,Email/Collaboration,Security Ops,Priya Menon,Delhi NCR,Marketing,Load Balancer,OS patch deployment,No Conflict,Approved,Awaiting approval,Jun-2024,Q2-2024
CHG0000876,2024-07-09 19:44:24,2024-08-06 19:44:24,2024-08-06 22:44:24,2024-08-06 19:50:24,2024-08-06 20:50:24,Standard,Low,2 - High,Implement,Email/Collaboration,DB Admins,Pooja Iyer,Mumbai,IT,SAP Production,Backup policy change,No Conflict,Approved,Awaiting approval,Jul-2024,Q3-2024
CHG0000877,2024-07-04 16:42:24,2024-07-28 16:42:24,2024-07-28 22:42:24,2024-07-28 17:04:24,2024-07-28 18:04:24,Standard,High,1 - Critical,Closed,Security,L2 Support,Pooja Iyer,Chennai,IT,Core Switch,SSL certificate renewal,No Conflict,Pending,Testing required,Jul-2024,Q3-2024
CHG0000878,2024-10-09 20:55:31,2024-11-01 20:55:31,2024-11-02 03:55:31,,,Normal,High,4 - Low,Review,Access Management,Infra Team,Vikram Joshi,Chennai,Operations,Active Directory,OS patch deployment,No Conflict,Approved,Awaiting approval,Oct-2024,Q4-2024
CHG0000879,2024-11-22 08:52:15,2024-12-02 08:52:15,2024-12-02 13:52:15,2024-12-02 08:28:15,2024-12-02 14:28:15,Emergency,Low,1 - Critical,Implement,Network,App Support,Sneha Patil,Bangalore,Operations,Email Gateway,SSL certificate renewal,No Conflict,Approved,Testing required,Nov-2024,Q4-2024
CHG0000880,2024-07-06 23:00:27,2024-07-13 23:00:27,2024-07-14 01:00:27,2024-07-13 22:40:27,2024-07-14 00:40:27,Standard,High,4 - Low,Implement,Email/Collaboration,Network Ops,Rohan Verma,Delhi NCR,Marketing,Core Switch,Backup policy change,No Conflict,Pending,Awaiting approval,Jul-2024,Q3-2024
CHG0000881,2024-09-08 16:20:53,2024-09-28 16:20:53,2024-09-28 20:20:53,,,Normal,Medium,4 - Low,Authorize,Security,Network Ops,Sneha Patil,Kolkata,Legal,Firewall-01,Load balancer config,No Conflict,Approved,Testing required,Sep-2024,Q3-2024
CHG0000882,2024-11-10 15:22:02,2024-11-20 15:22:02,2024-11-20 21:22:02,,,Normal,Medium,3 - Medium,Authorize,Hardware,App Support,Amit Desai,Hyderabad,Marketing,Email Gateway,Middleware upgrade,No Conflict,Approved,Vendor dependency,Nov-2024,Q4-2024
CHG0000883,2024-02-28 01:29:38,2024-03-19 01:29:38,2024-03-19 09:29:38,,,Standard,High,4 - Low,Review,Email/Collaboration,Network Ops,Amit Desai,Hyderabad,Marketing,Email Gateway,Backup policy change,No Conflict,Pending,Testing required,Feb-2024,Q1-2024
CHG0000884,2024-07-08 19:52:54,2024-07-23 19:52:54,2024-07-24 01:52:54,,,Normal,Medium,3 - Medium,Cancelled,Application,DB Admins,Priya Menon,Pune,Sales,Load Balancer,Middleware upgrade,No Conflict,Approved,,Jul-2024,Q3-2024
CHG0000885,2024-01-22 12:52:09,2024-02-09 12:52:09,2024-02-09 19:52:09,2024-02-09 12:24:09,2024-02-09 13:24:09,Emergency,Medium,4 - Low,Closed,Hardware,DB Admins,Pooja Iyer,Delhi NCR,Finance,Core Switch,Storage expansion,No Conflict,Approved,Resource unavailable,Jan-2024,Q1-2024
CHG0000886,2024-04-01 02:12:37,2024-04-16 02:12:37,2024-04-16 07:12:37,2024-04-16 01:48:37,2024-04-16 05:48:37,Standard,Medium,1 - Critical,Implement,Security,Infra Team,Amit Desai,Chennai,Marketing,Firewall-01,Backup policy change,No Conflict,Approved,Vendor dependency,Apr-2024,Q2-2024
CHG0000887,2024-01-31 05:29:34,2024-02-16 05:29:34,2024-02-16 06:29:34,2024-02-16 05:05:34,2024-02-16 08:05:34,Emergency,Medium,3 - Medium,Implement,Database,Security Ops,Deepak Nair,Delhi NCR,HR,Firewall-01,DB migration,Conflict Detected,Rejected,Awaiting approval,Jan-2024,Q1-2024
CHG0000888,2024-11-15 10:03:42,2024-12-10 10:03:42,2024-12-10 17:03:42,,,Standard,Medium,4 - Low,Authorize,Hardware,DB Admins,Pooja Iyer,Bangalore,Operations,Core Switch,DR failover test,No Conflict,Approved,,Nov-2024,Q4-2024
CHG0000889,2024-05-12 22:01:59,2024-05-27 22:01:59,2024-05-27 23:01:59,2024-05-27 22:15:59,2024-05-28 05:15:59,Emergency,Low,3 - Medium,Closed,Software,L2 Support,Kavya Reddy,Bangalore,Finance,SAP Production,Middleware upgrade,No Conflict,Approved,Vendor dependency,May-2024,Q2-2024
CHG0000890,2024-01-25 07:11:34,2024-02-16 07:11:34,2024-02-16 13:11:34,,,Standard,Low,4 - Low,Review,Hardware,DB Admins,Vikram Joshi,Hyderabad,Procurement,SAP Production,DB migration,No Conflict,Rejected,Awaiting approval,Jan-2024,Q1-2024
CHG0000891,2024-05-09 18:53:56,2024-05-28 18:53:56,2024-05-29 00:53:56,,,Emergency,Medium,3 - Medium,Authorize,Hardware,L1 Support,Deepak Nair,Pune,Finance,Email Gateway,Firewall rule update,No Conflict,Rejected,Testing required,May-2024,Q2-2024
CHG0000892,2024-07-24 20:42:34,2024-08-21 20:42:34,2024-08-22 04:42:34,,,Normal,Medium,4 - Low,Review,Security,Infra Team,Vikram Joshi,Mumbai,HR,Core Switch,Firewall rule update,No Conflict,Approved,Awaiting approval,Jul-2024,Q3-2024
CHG0000893,2024-09-05 07:43:03,2024-09-13 07:43:03,2024-09-13 15:43:03,2024-09-13 07:55:03,2024-09-13 15:55:03,Emergency,Low,2 - High,Closed,Hardware,DB Admins,Priya Menon,Bangalore,IT,ERP Server,OS patch deployment,No Conflict,Rejected,Resource unavailable,Sep-2024,Q3-2024
CHG0000894,2024-03-16 22:33:50,2024-03-25 22:33:50,2024-03-25 23:33:50,,,Emergency,Medium,3 - Medium,Review,Network,L1 Support,Deepak Nair,Bangalore,Sales,Oracle DB,SSL certificate renewal,No Conflict,Approved,Awaiting approval,Mar-2024,Q1-2024
CHG0000895,2024-02-07 16:39:10,2024-03-05 16:39:10,2024-03-05 22:39:10,2024-03-05 17:01:10,2024-03-05 20:01:10,Emergency,Low,2 - High,Implement,Software,L2 Support,Deepak Nair,Delhi NCR,Finance,SAP Production,Storage expansion,No Conflict,Approved,Vendor dependency,Feb-2024,Q1-2024
CHG0000896,2024-02-12 17:05:53,2024-03-06 17:05:53,2024-03-06 21:05:53,,,Normal,Medium,1 - Critical,Authorize,Network,DB Admins,Priya Menon,Pune,Sales,VPN Gateway,DR failover test,No Conflict,Approved,Testing required,Feb-2024,Q1-2024
CHG0000897,2024-03-07 05:50:04,2024-04-01 05:50:04,2024-04-01 12:50:04,2024-04-01 05:37:04,2024-04-01 11:37:04,Standard,High,1 - Critical,Implement,Database,DB Admins,Anjali Singh,Mumbai,Legal,Email Gateway,SSL certificate renewal,No Conflict,Approved,Vendor dependency,Mar-2024,Q1-2024
CHG0000898,2024-11-27 20:57:05,2024-12-18 20:57:05,2024-12-18 23:57:05,2024-12-18 21:10:05,2024-12-19 01:10:05,Normal,Medium,1 - Critical,Closed,Hardware,L2 Support,Sneha Patil,Mumbai,Legal,CRM Application,DR failover test,No Conflict,Approved,Vendor dependency,Nov-2024,Q4-2024
CHG0000899,2024-05-09 22:01:14,2024-05-19 22:01:14,2024-05-20 06:01:14,,,Normal,Medium,2 - High,Cancelled,Security,DB Admins,Kavya Reddy,Chennai,Procurement,ERP Server,Network upgrade,No Conflict,Approved,Awaiting approval,May-2024,Q2-2024
CHG0000900,2024-01-25 17:07:42,2024-02-21 17:07:42,2024-02-21 21:07:42,,,Normal,High,4 - Low,Review,Access Management,L1 Support,Deepak Nair,Chennai,IT,Core Switch,Firewall rule update,No Conflict,Approved,Vendor dependency,Jan-2024,Q1-2024
CHG0000901,2024-10-21 17:30:23,2024-10-31 17:30:23,2024-11-01 00:30:23,2024-10-31 17:46:23,2024-10-31 21:46:23,Normal,High,4 - Low,Closed,Email/Collaboration,Infra Team,Anjali Singh,Pune,Sales,Oracle DB,OS patch deployment,No Conflict,Approved,Awaiting approval,Oct-2024,Q4-2024
CHG0000902,2024-07-11 09:26:32,2024-07-26 09:26:32,2024-07-26 11:26:32,2024-07-26 09:44:32,2024-07-26 11:44:32,Emergency,Low,2 - High,Closed,Access Management,Infra Team,Kavya Reddy,Chennai,Sales,Oracle DB,SSL certificate renewal,Conflict Detected,Approved,,Jul-2024,Q3-2024
CHG0000903,2024-12-23 00:38:51,2025-01-13 00:38:51,2025-01-13 07:38:51,,,Normal,Medium,1 - Critical,Authorize,Security,L1 Support,Deepak Nair,Mumbai,Finance,SAP Production,DR failover test,No Conflict,Approved,Vendor dependency,Dec-2024,Q4-2024
CHG0000904,2024-11-26 00:51:42,2024-12-17 00:51:42,2024-12-17 07:51:42,,,Emergency,High,3 - Medium,Review,Security,Infra Team,Rahul Sharma,Chennai,Finance,Email Gateway,SSL certificate renewal,No Conflict,Approved,Testing required,Nov-2024,Q4-2024
CHG0000905,2024-11-17 05:12:30,2024-12-09 05:12:30,2024-12-09 10:12:30,,,Emergency,Medium,3 - Medium,Authorize,Database,App Support,Deepak Nair,Bangalore,Finance,Active Directory,Middleware upgrade,No Conflict,Approved,Testing required,Nov-2024,Q4-2024
CHG0000906,2024-07-07 04:20:18,2024-07-24 04:20:18,2024-07-24 05:20:18,2024-07-24 03:55:18,2024-07-24 11:55:18,Standard,Medium,2 - High,Closed,Database,L1 Support,Deepak Nair,Kolkata,Legal,Email Gateway,Firewall rule update,No Conflict,Approved,Resource unavailable,Jul-2024,Q3-2024
CHG0000907,2024-11-17 05:05:48,2024-12-10 05:05:48,2024-12-10 13:05:48,2024-12-10 04:47:48,2024-12-10 06:47:48,Standard,Low,4 - Low,Implement,Network,App Support,Rohan Verma,Bangalore,Operations,VPN Gateway,Network upgrade,No Conflict,Approved,Testing required,Nov-2024,Q4-2024
CHG0000908,2024-02-24 10:09:43,2024-03-21 10:09:43,2024-03-21 11:09:43,2024-03-21 10:13:43,2024-03-21 14:13:43,Emergency,Low,2 - High,Implement,Database,L2 Support,Amit Desai,Hyderabad,Sales,ERP Server,Load balancer config,Conflict Detected,Approved,Testing required,Feb-2024,Q1-2024
CHG0000909,2024-10-29 21:08:11,2024-11-26 21:08:11,2024-11-27 04:08:11,2024-11-26 21:28:11,2024-11-26 23:28:11,Standard,Low,3 - Medium,Closed,Application,Infra Team,Amit Desai,Mumbai,Legal,Core Switch,Backup policy change,No Conflict,Approved,Resource unavailable,Oct-2024,Q4-2024
CHG0000910,2024-05-03 13:43:08,2024-05-17 13:43:08,2024-05-17 19:43:08,,,Normal,Low,3 - Medium,Review,Software,L2 Support,Amit Desai,Pune,Finance,CRM Application,Network upgrade,No Conflict,Approved,Vendor dependency,May-2024,Q2-2024
CHG0000911,2024-01-07 19:18:32,2024-01-25 19:18:32,2024-01-25 21:18:32,2024-01-25 19:14:32,2024-01-25 22:14:32,Standard,Medium,1 - Critical,Closed,Email/Collaboration,L2 Support,Sneha Patil,Delhi NCR,Procurement,VPN Gateway,Load balancer config,No Conflict,Rejected,Awaiting approval,Jan-2024,Q1-2024
CHG0000912,2024-05-26 13:01:08,2024-06-12 13:01:08,2024-06-12 15:01:08,2024-06-12 12:54:08,2024-06-12 19:54:08,Standard,High,1 - Critical,Closed,Software,DB Admins,Sneha Patil,Mumbai,Operations,Oracle DB,Backup policy change,No Conflict,Approved,Testing required,May-2024,Q2-2024
CHG0000913,2024-11-30 16:46:19,2024-12-26 16:46:19,2024-12-26 18:46:19,,,Emergency,Low,1 - Critical,Cancelled,Software,L2 Support,Rohan Verma,Mumbai,Legal,Email Gateway,DB migration,No Conflict,Rejected,Vendor dependency,Nov-2024,Q4-2024
CHG0000914,2024-10-05 06:51:32,2024-10-29 06:51:32,2024-10-29 07:51:32,2024-10-29 07:12:32,2024-10-29 11:12:32,Emergency,Medium,2 - High,Implement,Database,L2 Support,Sneha Patil,Hyderabad,Procurement,ERP Server,Firewall rule update,No Conflict,Approved,Testing required,Oct-2024,Q4-2024
