Problem Number,Opened At,Resolved At,Category,Priority,Impact,State,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Known Error,Workaround,Related Incidents,Root Cause,Resolution Days,Month Year,Quarter
PRB0000246,25-06-2024 13:12,24-07-2024 13:12,Security,4 - Low,1 - Enterprise,Resolved,L2 Support,Anjali Singh,Mumbai,Procurement,Email Gateway,Cannot login,No,Yes,5,Configuration error,29,Jun-24,Q2-2024
PRB0000247,13-12-2024 23:13,,Access Management,4 - Low,3 - Multiple Users,Open,DB Admins,Vikram Joshi,Chennai,IT,Active Directory,Application error,No,Yes,20,Software defect,,Dec-24,Q4-2024
PRB0000248,03-11-2024 14:10,,Application,4 - Low,3 - Multiple Users,Open,L2 Support,Sneha Patil,Bangalore,Sales,SAP Production,Database timeout,Yes,No,1,Human error,,Nov-24,Q4-2024
PRB0000249,09-04-2024 01:26,05-05-2024 01:26,Network,2 - High,2 - Department,Resolved,L1 Support,Rohan Verma,Pune,Sales,Email Gateway,Printer offline,Yes,Yes,20,Hardware failure,26,Apr-24,Q2-2024
PRB0000250,24-07-2024 04:09,,Database,1 - Critical,1 - Enterprise,In Progress,L2 Support,Anjali Singh,Bangalore,Legal,Oracle DB,Slow performance,Yes,Yes,24,Software defect,,Jul-24,Q3-2024
PRB0000251,21-02-2024 07:52,,Email/Collaboration,3 - Medium,4 - Individual,Open,Network Ops,Rohan Verma,Chennai,Sales,Oracle DB,Cannot login,No,No,2,Human error,,Feb-24,Q1-2024
PRB0000252,23-12-2024 18:45,,Email/Collaboration,3 - Medium,3 - Multiple Users,In Progress,L1 Support,Priya Menon,Bangalore,Marketing,Active Directory,Database timeout,Yes,Yes,13,Configuration error,,Dec-24,Q4-2024
PRB0000253,05-08-2024 06:36,15-09-2024 06:36,Email/Collaboration,2 - High,1 - Enterprise,Closed,Network Ops,Anjali Singh,Chennai,Sales,Oracle DB,Application error,No,Yes,5,Hardware failure,41,Aug-24,Q3-2024
PRB0000254,29-11-2024 17:56,21-12-2024 17:56,Access Management,4 - Low,4 - Individual,Closed,App Support,Sneha Patil,Delhi NCR,Sales,ERP Server,Database timeout,No,Yes,16,Configuration error,22,Nov-24,Q4-2024
PRB0000255,09-08-2024 05:15,18-09-2024 05:15,Hardware,3 - Medium,1 - Enterprise,Closed,Infra Team,Priya Menon,Kolkata,Marketing,Oracle DB,Printer offline,No,Yes,5,Configuration error,40,Aug-24,Q3-2024
PRB0000256,06-03-2024 21:23,20-03-2024 21:23,Hardware,1 - Critical,3 - Multiple Users,Resolved,Security Ops,Kavya Reddy,Chennai,Legal,Oracle DB,Cannot login,Yes,Yes,10,Vendor issue,14,Mar-24,Q1-2024
PRB0000257,07-07-2024 04:03,19-09-2024 04:03,Security,4 - Low,2 - Department,Resolved,L2 Support,Priya Menon,Bangalore,Sales,CRM Application,Slow performance,Yes,No,9,Network fault,74,Jul-24,Q3-2024
PRB0000258,04-01-2024 03:23,,Application,4 - Low,1 - Enterprise,In Progress,L2 Support,Anjali Singh,Bangalore,Marketing,Core Switch,VPN disconnecting,No,No,6,Vendor issue,,Jan-24,Q1-2024
PRB0000259,20-04-2024 07:14,25-06-2024 07:14,Access Management,2 - High,3 - Multiple Users,Resolved,App Support,Kavya Reddy,Hyderabad,Operations,ERP Server,Printer offline,Yes,No,23,Human error,66,Apr-24,Q2-2024
PRB0000260,14-10-2024 20:50,,Access Management,4 - Low,3 - Multiple Users,In Progress,Network Ops,Rahul Sharma,Bangalore,Sales,Load Balancer,VPN disconnecting,No,Yes,20,Network fault,,Oct-24,Q4-2024
PRB0000261,14-12-2024 13:59,21-12-2024 13:59,Software,3 - Medium,2 - Department,Closed,L2 Support,Vikram Joshi,Kolkata,IT,SAP Production,Application error,No,Yes,2,Software defect,7,Dec-24,Q4-2024
PRB0000262,07-03-2024 18:03,,Application,4 - Low,2 - Department,Open,Security Ops,Vikram Joshi,Kolkata,Finance,Email Gateway,Email not working,No,Yes,22,Vendor issue,,Mar-24,Q1-2024
PRB0000263,22-01-2024 06:33,18-04-2024 06:33,Security,4 - Low,4 - Individual,Resolved,Network Ops,Amit Desai,Delhi NCR,Finance,CRM Application,Database timeout,Yes,Yes,5,Vendor issue,87,Jan-24,Q1-2024
PRB0000264,31-05-2024 09:17,12-08-2024 09:17,Network,1 - Critical,4 - Individual,Closed,DB Admins,Rahul Sharma,Kolkata,Marketing,Core Switch,Printer offline,Yes,No,3,Network fault,73,May-24,Q2-2024
PRB0000265,09-07-2024 09:38,25-07-2024 09:38,Hardware,3 - Medium,2 - Department,Resolved,DB Admins,Anjali Singh,Bangalore,Sales,SAP Production,Cannot login,No,No,5,Human error,16,Jul-24,Q3-2024
PRB0000266,12-06-2024 10:40,,Network,3 - Medium,1 - Enterprise,Open,Network Ops,Vikram Joshi,Delhi NCR,Procurement,VPN Gateway,Email not working,No,Yes,2,Configuration error,,Jun-24,Q2-2024
PRB0000267,08-04-2024 03:35,,Hardware,1 - Critical,4 - Individual,Open,DB Admins,Rahul Sharma,Pune,Sales,Firewall-01,Cannot login,No,No,10,Software defect,,Apr-24,Q2-2024
PRB0000268,08-05-2024 05:22,,Software,2 - High,1 - Enterprise,In Progress,App Support,Rahul Sharma,Chennai,IT,Active Directory,VPN disconnecting,Yes,No,1,Vendor issue,,May-24,Q2-2024
PRB0000269,31-12-2024 09:22,10-01-2025 09:22,Software,1 - Critical,3 - Multiple Users,Closed,Infra Team,Amit Desai,Mumbai,HR,Oracle DB,Network outage,No,No,13,Vendor issue,10,Dec-24,Q4-2024
PRB0000270,25-10-2024 17:44,31-10-2024 17:44,Security,2 - High,2 - Department,Resolved,L2 Support,Rahul Sharma,Kolkata,Marketing,Email Gateway,Slow performance,Yes,Yes,4,Configuration error,6,Oct-24,Q4-2024
PRB0000271,04-05-2024 15:49,,Application,3 - Medium,2 - Department,In Progress,L2 Support,Priya Menon,Mumbai,Marketing,CRM Application,Network outage,Yes,Yes,5,Software defect,,May-24,Q2-2024
PRB0000272,13-02-2024 13:59,17-04-2024 13:59,Email/Collaboration,4 - Low,2 - Department,Closed,Network Ops,Anjali Singh,Chennai,HR,Email Gateway,System not responding,No,Yes,24,Human error,64,Feb-24,Q1-2024
PRB0000273,10-09-2024 20:33,,Software,1 - Critical,4 - Individual,In Progress,App Support,Kavya Reddy,Bangalore,Sales,VPN Gateway,System not responding,No,No,8,Hardware failure,,Sep-24,Q3-2024
PRB0000274,09-07-2024 17:07,27-08-2024 17:07,Security,2 - High,2 - Department,Resolved,Network Ops,Priya Menon,Mumbai,Legal,Firewall-01,VPN disconnecting,Yes,Yes,10,Configuration error,49,Jul-24,Q3-2024
PRB0000275,28-03-2024 02:55,,Database,3 - Medium,1 - Enterprise,Open,Network Ops,Kavya Reddy,Pune,HR,Active Directory,Printer offline,No,No,22,Hardware failure,,Mar-24,Q1-2024
PRB0000276,21-10-2024 18:40,,Security,1 - Critical,1 - Enterprise,Open,DB Admins,Vikram Joshi,Delhi NCR,Marketing,ERP Server,Printer offline,No,Yes,2,Network fault,,Oct-24,Q4-2024
PRB0000277,25-02-2024 17:02,21-05-2024 17:02,Hardware,1 - Critical,1 - Enterprise,Closed,Infra Team,Deepak Nair,Bangalore,IT,Load Balancer,Database timeout,Yes,Yes,9,Human error,86,Feb-24,Q1-2024
PRB0000278,17-03-2024 00:43,,Software,2 - High,4 - Individual,In Progress,DB Admins,Pooja Iyer,Mumbai,Procurement,Email Gateway,Network outage,Yes,Yes,23,Network fault,,Mar-24,Q1-2024
PRB0000279,12-02-2024 09:04,01-05-2024 09:04,Hardware,1 - Critical,4 - Individual,Resolved,Network Ops,Anjali Singh,Mumbai,Marketing,Active Directory,Cannot login,Yes,No,11,Configuration error,79,Feb-24,Q1-2024
PRB0000280,27-05-2024 20:52,02-06-2024 20:52,Database,1 - Critical,3 - Multiple Users,Closed,Security Ops,Vikram Joshi,Kolkata,Marketing,Load Balancer,Database timeout,Yes,No,3,Configuration error,6,May-24,Q2-2024
PRB0000281,22-09-2024 16:13,,Software,2 - High,2 - Department,In Progress,Network Ops,Rohan Verma,Chennai,Operations,Active Directory,Slow performance,Yes,No,19,Vendor issue,,Sep-24,Q3-2024
PRB0000282,27-03-2024 16:08,,Email/Collaboration,4 - Low,3 - Multiple Users,In Progress,Infra Team,Deepak Nair,Delhi NCR,IT,Core Switch,Cannot login,Yes,No,2,Configuration error,,Mar-24,Q1-2024
PRB0000283,30-05-2024 02:56,,Security,2 - High,3 - Multiple Users,Open,Network Ops,Amit Desai,Chennai,IT,Active Directory,VPN disconnecting,Yes,Yes,15,Vendor issue,,May-24,Q2-2024
PRB0000284,03-04-2024 01:59,26-06-2024 01:59,Network,3 - Medium,4 - Individual,Resolved,Infra Team,Rohan Verma,Delhi NCR,HR,CRM Application,Printer offline,Yes,Yes,2,Network fault,84,Apr-24,Q2-2024
PRB0000285,17-09-2024 14:49,18-11-2024 14:49,Software,3 - Medium,1 - Enterprise,Resolved,L1 Support,Pooja Iyer,Chennai,Finance,Active Directory,Database timeout,Yes,Yes,10,Human error,62,Sep-24,Q3-2024
PRB0000286,31-10-2024 16:51,25-11-2024 16:51,Network,4 - Low,4 - Individual,Resolved,Infra Team,Deepak Nair,Chennai,IT,Load Balancer,Slow performance,Yes,Yes,18,Hardware failure,25,Oct-24,Q4-2024
PRB0000287,17-05-2024 18:43,03-07-2024 18:43,Email/Collaboration,1 - Critical,1 - Enterprise,Closed,L2 Support,Rahul Sharma,Bangalore,Legal,ERP Server,Cannot login,Yes,Yes,17,Vendor issue,47,May-24,Q2-2024
PRB0000288,11-06-2024 10:06,17-08-2024 10:06,Security,3 - Medium,1 - Enterprise,Resolved,App Support,Kavya Reddy,Delhi NCR,Operations,Email Gateway,Network outage,Yes,No,7,Configuration error,67,Jun-24,Q2-2024
PRB0000289,14-03-2024 14:55,19-03-2024 14:55,Software,1 - Critical,2 - Department,Resolved,L2 Support,Anjali Singh,Bangalore,Marketing,ERP Server,Cannot login,No,Yes,15,Capacity issue,5,Mar-24,Q1-2024
PRB0000290,07-05-2024 08:47,,Hardware,3 - Medium,4 - Individual,Open,L1 Support,Sneha Patil,Bangalore,IT,Load Balancer,Application error,Yes,Yes,1,Configuration error,,May-24,Q2-2024
PRB0000291,28-03-2024 13:10,,Access Management,2 - High,4 - Individual,Open,DB Admins,Sneha Patil,Bangalore,HR,Oracle DB,Cannot login,Yes,Yes,6,Software defect,,Mar-24,Q1-2024
PRB0000292,08-07-2024 23:25,,Network,3 - Medium,2 - Department,Open,L1 Support,Sneha Patil,Mumbai,Finance,Firewall-01,Email not working,Yes,No,1,Capacity issue,,Jul-24,Q3-2024
PRB0000293,25-11-2024 22:10,28-11-2024 22:10,Access Management,3 - Medium,2 - Department,Closed,DB Admins,Amit Desai,Kolkata,Finance,Firewall-01,Network outage,No,Yes,6,Hardware failure,3,Nov-24,Q4-2024
PRB0000294,02-12-2024 16:40,12-12-2024 16:40,Email/Collaboration,4 - Low,4 - Individual,Resolved,DB Admins,Priya Menon,Delhi NCR,IT,Core Switch,Service unavailable,No,No,20,Software defect,10,Dec-24,Q4-2024
PRB0000295,21-05-2024 00:10,,Application,4 - Low,1 - Enterprise,Open,Network Ops,Pooja Iyer,Kolkata,IT,ERP Server,Printer offline,No,Yes,22,Capacity issue,,May-24,Q2-2024
PRB0000296,04-11-2024 12:12,,Security,1 - Critical,1 - Enterprise,Open,L1 Support,Amit Desai,Mumbai,Operations,VPN Gateway,Email not working,No,Yes,20,Configuration error,,Nov-24,Q4-2024
PRB0000297,08-10-2024 15:49,,Security,4 - Low,3 - Multiple Users,Open,L1 Support,Pooja Iyer,Delhi NCR,Sales,ERP Server,Cannot login,No,Yes,16,Configuration error,,Oct-24,Q4-2024
PRB0000298,09-02-2024 18:53,,Database,2 - High,2 - Department,Open,App Support,Rohan Verma,Mumbai,Legal,Core Switch,Application error,Yes,Yes,20,Network fault,,Feb-24,Q1-2024
PRB0000299,21-08-2024 13:41,,Hardware,4 - Low,3 - Multiple Users,In Progress,L2 Support,Rohan Verma,Mumbai,Sales,Email Gateway,Network outage,Yes,Yes,22,Software defect,,Aug-24,Q3-2024
PRB0000300,10-11-2024 01:05,20-11-2024 01:05,Access Management,3 - Medium,2 - Department,Closed,L2 Support,Kavya Reddy,Kolkata,Operations,SAP Production,Slow performance,Yes,No,5,Capacity issue,10,Nov-24,Q4-2024
PRB0000301,25-11-2024 11:23,,Hardware,3 - Medium,4 - Individual,Open,L1 Support,Sneha Patil,Delhi NCR,Finance,SAP Production,Printer offline,No,Yes,16,Human error,,Nov-24,Q4-2024
PRB0000302,17-02-2024 04:21,24-02-2024 04:21,Network,2 - High,4 - Individual,Closed,Network Ops,Sneha Patil,Bangalore,Operations,Load Balancer,Application error,Yes,Yes,1,Human error,7,Feb-24,Q1-2024
PRB0000303,13-10-2024 14:01,28-10-2024 14:01,Application,2 - High,1 - Enterprise,Resolved,Network Ops,Pooja Iyer,Kolkata,Operations,ERP Server,Cannot login,No,No,11,Software defect,15,Oct-24,Q4-2024
PRB0000304,26-09-2024 17:58,10-11-2024 17:58,Application,4 - Low,3 - Multiple Users,Closed,Infra Team,Rahul Sharma,Mumbai,Operations,ERP Server,Network outage,Yes,No,12,Software defect,45,Sep-24,Q3-2024
PRB0000305,07-05-2024 18:58,04-08-2024 18:58,Application,3 - Medium,4 - Individual,Resolved,Network Ops,Anjali Singh,Mumbai,Operations,SAP Production,Network outage,No,No,19,Software defect,89,May-24,Q2-2024
PRB0000306,09-02-2024 16:39,,Database,1 - Critical,4 - Individual,In Progress,DB Admins,Vikram Joshi,Mumbai,IT,VPN Gateway,Slow performance,No,No,14,Software defect,,Feb-24,Q1-2024
PRB0000307,30-07-2024 06:08,15-08-2024 06:08,Application,4 - Low,4 - Individual,Resolved,App Support,Sneha Patil,Chennai,Procurement,SAP Production,Printer offline,No,No,17,Human error,16,Jul-24,Q3-2024
PRB0000308,08-06-2024 04:02,,Network,3 - Medium,3 - Multiple Users,In Progress,Network Ops,Priya Menon,Delhi NCR,IT,ERP Server,Service unavailable,No,No,21,Software defect,,Jun-24,Q2-2024
PRB0000309,18-06-2024 05:11,26-07-2024 05:11,Hardware,2 - High,3 - Multiple Users,Closed,Infra Team,Deepak Nair,Bangalore,HR,Active Directory,Email not working,Yes,No,3,Human error,38,Jun-24,Q2-2024
PRB0000310,15-03-2024 16:19,19-05-2024 16:19,Email/Collaboration,1 - Critical,4 - Individual,Closed,L1 Support,Vikram Joshi,Kolkata,Legal,SAP Production,Network outage,Yes,Yes,19,Human error,65,Mar-24,Q1-2024
PRB0000311,25-11-2024 10:41,,Application,2 - High,2 - Department,In Progress,Security Ops,Sneha Patil,Bangalore,Procurement,ERP Server,Cannot login,Yes,Yes,10,Configuration error,,Nov-24,Q4-2024
PRB0000312,17-05-2024 12:02,02-08-2024 12:02,Application,4 - Low,1 - Enterprise,Closed,Network Ops,Rahul Sharma,Chennai,Legal,ERP Server,Email not working,No,No,15,Configuration error,77,May-24,Q2-2024
PRB0000313,10-02-2024 21:58,,Hardware,3 - Medium,3 - Multiple Users,Open,Infra Team,Priya Menon,Hyderabad,Finance,Load Balancer,Email not working,Yes,No,20,Software defect,,Feb-24,Q1-2024
PRB0000314,28-07-2024 09:45,,Security,2 - High,3 - Multiple Users,In Progress,DB Admins,Rohan Verma,Pune,HR,Email Gateway,System not responding,Yes,Yes,12,Network fault,,Jul-24,Q3-2024
PRB0000315,02-06-2024 19:09,23-08-2024 19:09,Software,2 - High,4 - Individual,Resolved,App Support,Deepak Nair,Pune,HR,Firewall-01,Database timeout,No,No,19,Configuration error,82,Jun-24,Q2-2024
PRB0000316,18-12-2024 06:46,24-12-2024 06:46,Email/Collaboration,3 - Medium,4 - Individual,Closed,DB Admins,Rohan Verma,Pune,Legal,SAP Production,Cannot login,Yes,Yes,4,Software defect,6,Dec-24,Q4-2024
PRB0000317,27-03-2024 08:15,30-04-2024 08:15,Software,1 - Critical,2 - Department,Resolved,L1 Support,Amit Desai,Bangalore,Operations,VPN Gateway,Slow performance,No,Yes,19,Hardware failure,34,Mar-24,Q1-2024
PRB0000318,04-10-2024 17:02,20-12-2024 17:02,Email/Collaboration,4 - Low,1 - Enterprise,Closed,Security Ops,Anjali Singh,Bangalore,Procurement,Oracle DB,VPN disconnecting,No,Yes,9,Network fault,77,Oct-24,Q4-2024
PRB0000319,02-01-2024 22:59,10-03-2024 22:59,Application,1 - Critical,3 - Multiple Users,Closed,App Support,Anjali Singh,Chennai,Marketing,Email Gateway,Application error,Yes,No,3,Capacity issue,68,Jan-24,Q1-2024
PRB0000320,01-08-2024 03:42,24-08-2024 03:42,Application,1 - Critical,3 - Multiple Users,Closed,Infra Team,Deepak Nair,Hyderabad,HR,Email Gateway,Service unavailable,No,Yes,19,Network fault,23,Aug-24,Q3-2024
PRB0000321,11-09-2024 12:22,06-11-2024 12:22,Network,3 - Medium,4 - Individual,Resolved,L1 Support,Kavya Reddy,Kolkata,Sales,Firewall-01,Database timeout,No,Yes,8,Vendor issue,56,Sep-24,Q3-2024
PRB0000322,08-02-2024 23:26,,Application,2 - High,4 - Individual,In Progress,L2 Support,Pooja Iyer,Mumbai,IT,Load Balancer,Database timeout,No,No,24,Hardware failure,,Feb-24,Q1-2024
PRB0000323,09-03-2024 08:38,,Network,4 - Low,3 - Multiple Users,In Progress,L2 Support,Anjali Singh,Kolkata,Sales,ERP Server,VPN disconnecting,No,No,17,Human error,,Mar-24,Q1-2024
PRB0000324,18-02-2024 10:53,17-05-2024 10:53,Access Management,1 - Critical,1 - Enterprise,Closed,DB Admins,Anjali Singh,Pune,Operations,ERP Server,Cannot login,No,Yes,20,Network fault,89,Feb-24,Q1-2024
PRB0000325,17-05-2024 11:06,26-07-2024 11:06,Email/Collaboration,4 - Low,1 - Enterprise,Closed,Infra Team,Anjali Singh,Pune,IT,Load Balancer,Slow performance,Yes,No,10,Human error,70,May-24,Q2-2024
PRB0000326,06-12-2024 07:51,16-12-2024 07:51,Network,4 - Low,4 - Individual,Resolved,Security Ops,Deepak Nair,Bangalore,Sales,SAP Production,Service unavailable,No,Yes,9,Network fault,10,Dec-24,Q4-2024
PRB0000327,27-05-2024 18:48,08-08-2024 18:48,Email/Collaboration,4 - Low,3 - Multiple Users,Resolved,Infra Team,Amit Desai,Chennai,Finance,ERP Server,Printer offline,Yes,Yes,10,Software defect,73,May-24,Q2-2024
PRB0000328,16-01-2024 08:35,12-04-2024 08:35,Database,1 - Critical,2 - Department,Resolved,Network Ops,Rohan Verma,Pune,Marketing,Active Directory,Application error,No,Yes,6,Vendor issue,87,Jan-24,Q1-2024
PRB0000329,29-10-2024 14:08,05-12-2024 14:08,Application,4 - Low,3 - Multiple Users,Resolved,App Support,Priya Menon,Hyderabad,Legal,Firewall-01,Cannot login,No,Yes,8,Software defect,37,Oct-24,Q4-2024
PRB0000330,18-11-2024 00:26,,Hardware,1 - Critical,4 - Individual,In Progress,Security Ops,Rahul Sharma,Delhi NCR,Finance,CRM Application,Printer offline,Yes,No,10,Human error,,Nov-24,Q4-2024
PRB0000331,28-04-2025 00:57,14-05-2025 00:57,Application,1 - Critical,3 - Multiple Users,Closed,Infra Team,Priya Menon,Pune,Finance,Firewall-01,Application error,No,No,17,Configuration error,16,Apr-25,Q2-2025
PRB0000332,02-06-2025 00:05,,Network,2 - High,2 - Department,In Progress,App Support,Pooja Iyer,Hyderabad,HR,Oracle DB,Cannot login,No,Yes,25,Vendor issue,,Jun-25,Q2-2025
PRB0000333,29-12-2025 15:56,08-01-2026 15:56,Email/Collaboration,4 - Low,4 - Individual,Resolved,DB Admins,Anjali Singh,Pune,IT,Load Balancer,Slow performance,No,Yes,5,Configuration error,10,Dec-25,Q4-2025
PRB0000334,20-03-2025 09:59,,Application,3 - Medium,1 - Enterprise,In Progress,DB Admins,Deepak Nair,Kolkata,Operations,Oracle DB,Cannot login,No,No,5,Capacity issue,,Mar-25,Q1-2025
PRB0000335,30-10-2025 09:23,,Application,4 - Low,3 - Multiple Users,In Progress,L1 Support,Priya Menon,Bangalore,Legal,VPN Gateway,Slow performance,No,Yes,17,Hardware failure,,Oct-25,Q4-2025
PRB0000336,16-03-2025 22:29,10-05-2025 22:29,Software,1 - Critical,2 - Department,Closed,Security Ops,Deepak Nair,Kolkata,Operations,ERP Server,Network outage,Yes,No,4,Human error,55,Mar-25,Q1-2025
PRB0000337,22-06-2025 08:24,04-09-2025 08:24,Database,4 - Low,2 - Department,Closed,Infra Team,Priya Menon,Hyderabad,Marketing,CRM Application,Slow performance,Yes,Yes,6,Software defect,74,Jun-25,Q2-2025
PRB0000338,11-05-2025 17:59,02-07-2025 17:59,Email/Collaboration,3 - Medium,3 - Multiple Users,Resolved,L1 Support,Vikram Joshi,Mumbai,HR,Load Balancer,System not responding,Yes,No,11,Vendor issue,52,May-25,Q2-2025
PRB0000339,25-08-2025 12:16,20-10-2025 12:16,Software,2 - High,4 - Individual,Resolved,L2 Support,Pooja Iyer,Pune,Finance,Firewall-01,Slow performance,Yes,No,7,Capacity issue,56,Aug-25,Q3-2025
PRB0000340,13-05-2025 00:37,,Network,4 - Low,2 - Department,Open,Infra Team,Vikram Joshi,Hyderabad,Procurement,CRM Application,Service unavailable,No,Yes,22,Network fault,,May-25,Q2-2025
PRB0000341,30-05-2025 21:07,,Access Management,4 - Low,4 - Individual,In Progress,App Support,Priya Menon,Mumbai,Operations,Firewall-01,Network outage,No,Yes,10,Configuration error,,May-25,Q2-2025
PRB0000342,21-11-2025 03:14,,Application,2 - High,1 - Enterprise,In Progress,Network Ops,Deepak Nair,Mumbai,HR,ERP Server,Slow performance,Yes,No,22,Network fault,,Nov-25,Q4-2025
PRB0000343,25-01-2025 16:32,,Security,1 - Critical,1 - Enterprise,Open,Infra Team,Pooja Iyer,Kolkata,Marketing,Active Directory,Printer offline,Yes,Yes,16,Configuration error,,Jan-25,Q1-2025
PRB0000344,09-05-2025 02:43,,Access Management,4 - Low,4 - Individual,In Progress,Network Ops,Sneha Patil,Chennai,IT,Firewall-01,Database timeout,No,Yes,14,Network fault,,May-25,Q2-2025
PRB0000345,14-06-2025 22:37,,Hardware,3 - Medium,1 - Enterprise,In Progress,L1 Support,Vikram Joshi,Delhi NCR,Finance,Core Switch,Printer offline,No,No,10,Vendor issue,,Jun-25,Q2-2025
PRB0000346,19-06-2025 03:27,08-08-2025 03:27,Security,2 - High,2 - Department,Resolved,Network Ops,Sneha Patil,Kolkata,Sales,VPN Gateway,Email not working,Yes,Yes,19,Network fault,50,Jun-25,Q2-2025
PRB0000347,09-02-2025 11:29,06-05-2025 11:29,Database,1 - Critical,4 - Individual,Resolved,DB Admins,Rahul Sharma,Delhi NCR,Sales,Oracle DB,Slow performance,No,Yes,8,Human error,86,Feb-25,Q1-2025
PRB0000348,17-08-2025 21:59,08-09-2025 21:59,Network,1 - Critical,3 - Multiple Users,Resolved,Infra Team,Vikram Joshi,Mumbai,Sales,CRM Application,VPN disconnecting,Yes,Yes,13,Hardware failure,22,Aug-25,Q3-2025
PRB0000349,03-05-2025 15:08,22-07-2025 15:08,Email/Collaboration,3 - Medium,1 - Enterprise,Closed,DB Admins,Kavya Reddy,Chennai,IT,CRM Application,Network outage,Yes,Yes,2,Network fault,80,May-25,Q2-2025
PRB0000350,07-05-2025 10:23,,Network,3 - Medium,3 - Multiple Users,Open,Infra Team,Rohan Verma,Kolkata,Legal,Core Switch,Database timeout,Yes,Yes,6,Software defect,,May-25,Q2-2025
PRB0000351,23-03-2025 09:23,10-05-2025 09:23,Network,3 - Medium,4 - Individual,Closed,App Support,Kavya Reddy,Chennai,Procurement,Email Gateway,VPN disconnecting,Yes,No,1,Network fault,48,Mar-25,Q1-2025
PRB0000352,27-10-2025 08:55,04-11-2025 08:55,Security,2 - High,1 - Enterprise,Resolved,App Support,Anjali Singh,Delhi NCR,IT,Oracle DB,Database timeout,No,Yes,6,Vendor issue,8,Oct-25,Q4-2025
PRB0000353,24-12-2025 12:19,,Database,3 - Medium,4 - Individual,In Progress,Infra Team,Deepak Nair,Pune,Procurement,CRM Application,Printer offline,No,No,19,Capacity issue,,Dec-25,Q4-2025
PRB0000354,20-07-2025 00:27,03-10-2025 00:27,Database,4 - Low,4 - Individual,Resolved,DB Admins,Priya Menon,Kolkata,Marketing,ERP Server,Network outage,Yes,Yes,14,Capacity issue,75,Jul-25,Q3-2025
PRB0000355,21-05-2025 06:21,31-05-2025 06:21,Access Management,2 - High,3 - Multiple Users,Resolved,L2 Support,Amit Desai,Mumbai,Legal,Active Directory,Database timeout,Yes,No,20,Hardware failure,10,May-25,Q2-2025
PRB0000356,31-03-2025 08:39,04-04-2025 08:39,Email/Collaboration,1 - Critical,4 - Individual,Resolved,DB Admins,Amit Desai,Hyderabad,Procurement,Firewall-01,Cannot login,Yes,Yes,10,Vendor issue,4,Mar-25,Q1-2025
PRB0000357,18-02-2025 00:52,,Database,3 - Medium,1 - Enterprise,In Progress,Infra Team,Rohan Verma,Pune,HR,SAP Production,System not responding,No,Yes,17,Vendor issue,,Feb-25,Q1-2025
PRB0000358,21-03-2025 17:13,11-04-2025 17:13,Application,3 - Medium,2 - Department,Closed,L2 Support,Rohan Verma,Mumbai,Operations,Email Gateway,Application error,Yes,No,7,Hardware failure,21,Mar-25,Q1-2025
PRB0000359,19-12-2025 23:03,,Access Management,3 - Medium,1 - Enterprise,Open,L2 Support,Pooja Iyer,Delhi NCR,Procurement,Oracle DB,Slow performance,Yes,No,1,Human error,,Dec-25,Q4-2025
PRB0000360,07-08-2025 04:39,27-09-2025 04:39,Access Management,2 - High,2 - Department,Closed,DB Admins,Amit Desai,Pune,HR,ERP Server,Application error,No,No,1,Human error,51,Aug-25,Q3-2025
PRB0000361,16-11-2025 17:28,28-12-2025 17:28,Hardware,2 - High,4 - Individual,Resolved,DB Admins,Anjali Singh,Mumbai,Legal,ERP Server,VPN disconnecting,No,Yes,8,Hardware failure,42,Nov-25,Q4-2025
PRB0000362,27-01-2025 13:04,,Email/Collaboration,3 - Medium,4 - Individual,Open,DB Admins,Sneha Patil,Chennai,IT,Active Directory,System not responding,No,No,12,Network fault,,Jan-25,Q1-2025
PRB0000363,16-03-2025 20:11,20-03-2025 20:11,Hardware,3 - Medium,2 - Department,Resolved,Network Ops,Rahul Sharma,Delhi NCR,Legal,VPN Gateway,Email not working,No,Yes,20,Hardware failure,4,Mar-25,Q1-2025
PRB0000364,13-08-2025 09:13,30-09-2025 09:13,Access Management,4 - Low,3 - Multiple Users,Resolved,L1 Support,Rohan Verma,Pune,Procurement,Oracle DB,Application error,No,No,16,Human error,48,Aug-25,Q3-2025
PRB0000365,03-08-2025 07:38,,Application,3 - Medium,4 - Individual,In Progress,L1 Support,Deepak Nair,Chennai,Finance,Oracle DB,Cannot login,Yes,No,6,Software defect,,Aug-25,Q3-2025
PRB0000366,08-07-2025 06:13,,Network,1 - Critical,2 - Department,In Progress,Security Ops,Priya Menon,Delhi NCR,Procurement,Oracle DB,Email not working,Yes,Yes,24,Hardware failure,,Jul-25,Q3-2025
PRB0000367,05-07-2025 15:50,22-08-2025 15:50,Access Management,4 - Low,4 - Individual,Resolved,L1 Support,Amit Desai,Mumbai,Procurement,VPN Gateway,Network outage,No,No,6,Network fault,48,Jul-25,Q3-2025
PRB0000368,01-06-2025 01:44,,Database,4 - Low,2 - Department,Open,Security Ops,Priya Menon,Mumbai,Marketing,Oracle DB,VPN disconnecting,No,No,22,Capacity issue,,Jun-25,Q2-2025
PRB0000369,11-08-2025 12:09,,Database,1 - Critical,4 - Individual,Open,Security Ops,Pooja Iyer,Delhi NCR,IT,CRM Application,System not responding,No,Yes,4,Vendor issue,,Aug-25,Q3-2025
